Date,Time,Event,EAR,MAR
2026-05-13,12:37:49,Drowsy,0.24,0.45,0
2026-05-13,12:41:56,Drowsy,0.23,0.41,0
2026-05-13,12:41:57,Distracted-RIGHT,0.2,0.4,0
2026-05-13,12:41:59,Drowsy,0.18,0.44,0
2026-05-13,12:42:00,Distracted-RIGHT,0.17,0.51,0
2026-05-13,12:42:00,Yawning,0.16,0.6,0
2026-05-13,12:42:02,Drowsy,0.16,0.57,0
2026-05-13,12:42:03,Distracted-LEFT,0.15,0.54,0
2026-05-13,12:42:05,Drowsy,0.22,0.42,0
2026-05-13,12:42:06,Distracted-LEFT,0.23,0.38,0
2026-05-13,12:42:08,Drowsy,0.22,0.42,0
2026-05-13,12:42:09,Distracted-LEFT,0.21,0.39,0
2026-05-13,12:42:12,Drowsy,0.23,0.44,0
2026-05-13,12:42:12,Distracted-RIGHT,0.23,0.44,0
2026-05-13,12:44:34,Distracted-LEFT,0.26,0.49,0
2026-05-13,12:44:37,Distracted-LEFT,0.25,0.5,0
2026-05-13,12:44:39,Drowsy,0.21,0.53,0
2026-05-13,12:44:40,Distracted-LEFT,0.24,0.49,0
2026-05-13,12:44:43,Distracted-LEFT,0.23,0.5,0
2026-05-13,12:44:44,Drowsy,0.16,0.51,0
2026-05-13,12:44:46,Distracted-RIGHT,0.25,0.53,0
2026-05-13,12:44:47,Drowsy,0.21,0.44,0
2026-05-13,12:53:30,Distracted-UP,0.26,0.38,0
2026-05-13,12:53:33,Distracted-UP,0.32,0.36,0
2026-05-13,12:53:36,Drowsy,0.2,0.37,0
2026-05-13,12:53:37,Distracted-UP,0.29,0.34,0
2026-05-13,12:53:40,Distracted-DOWN,0.29,0.37,0
2026-05-13,12:53:43,Distracted-UP,0.17,0.41,0
2026-05-13,12:53:44,Drowsy,0.25,0.36,0
2026-05-13,12:53:46,Distracted-DOWN,0.18,0.35,0
2026-05-13,12:53:47,Drowsy,0.13,0.37,0
2026-05-13,12:53:49,Distracted-DOWN,0.12,0.42,0
2026-05-13,12:53:50,Drowsy,0.15,0.39,0
2026-05-13,12:53:52,Distracted-UP,0.27,0.36,0
2026-05-13,12:53:55,Distracted-UP,0.28,0.33,0
2026-05-13,12:53:57,Drowsy,0.21,0.46,0
2026-05-13,12:53:58,Distracted-UP,0.21,0.46,0
2026-05-13,12:54:01,Drowsy,0.23,0.46,0
2026-05-13,12:54:01,Distracted-UP,0.23,0.46,0
2026-05-13,12:54:04,Drowsy,0.08,0.47,0
2026-05-13,12:54:04,Distracted-UP,0.08,0.47,0
2026-05-13,12:54:07,Drowsy,0.12,0.5,0
2026-05-13,12:54:08,Distracted-UP,0.12,0.5,0
2026-05-13,13:01:14,Drowsy,0.25,0.45,0
2026-05-13,13:01:15,Distracted-LEFT,0.25,0.47,0
2026-05-13,13:01:17,Drowsy,0.22,0.44,0
2026-05-13,13:01:18,Distracted-LEFT,0.24,0.48,0
2026-05-13,13:01:20,Drowsy,0.23,0.47,0
2026-05-13,13:01:21,Distracted-RIGHT,0.25,0.41,0
2026-05-13,13:01:24,Distracted-RIGHT,0.28,0.38,0
2026-05-13,13:01:27,Distracted-RIGHT,0.31,0.41,0
2026-05-13,13:01:30,Distracted-RIGHT,0.28,0.4,0
2026-05-13,13:01:33,Distracted-RIGHT,0.27,0.4,0
2026-05-13,13:01:35,Drowsy,0.14,0.41,0
2026-05-13,13:01:36,Distracted-RIGHT,0.14,0.4,0
2026-05-13,13:01:38,Drowsy,0.22,0.41,0
2026-05-13,13:01:38,Yawning,0.2,0.62,0
2026-05-13,15:47:15,Distracted-RIGHT,0.27,0.51,0
2026-05-13,15:47:16,Yawning,0.22,0.61,0
2026-05-13,15:47:17,Drowsy,0.2,0.31,0
2026-05-13,15:47:18,Distracted-LEFT,0.2,0.51,0
2026-05-13,15:47:20,Drowsy,0.22,0.56,0
2026-05-13,15:47:21,Distracted-LEFT,0.22,0.49,0
2026-05-13,15:47:24,Distracted-LEFT,0.22,0.49,0
2026-05-13,15:47:25,Drowsy,0.2,0.48,0
2026-05-13,15:47:27,Distracted-LEFT,0.2,0.5,0
2026-05-13,15:47:28,Drowsy,0.2,0.46,0
2026-05-13,15:47:30,Distracted-LEFT,0.2,0.41,0
2026-05-13,15:47:31,Drowsy,0.2,0.58,0
2026-05-13,15:47:56,Distracted-LEFT,0.18,0.55,0
2026-05-14,14:39:25,Drowsy,0.1,0.44,0
2026-05-14,14:39:25,HighScore,0.06,0.44,0
2026-05-14,14:39:29,Drowsy,0.23,0.57,0
2026-05-14,14:39:32,Drowsy,0.21,0.44,0
2026-05-14,14:39:35,Drowsy,0.16,0.46,0
2026-05-14,14:39:35,Yawning,0.18,0.67,0
2026-05-14,14:39:38,Drowsy,0.21,0.53,0
2026-05-14,14:39:38,Yawning,0.21,0.69,0
2026-05-14,14:39:42,Drowsy,0.1,0.41,0
2026-05-14,14:39:45,Drowsy,0.22,0.49,0
2026-05-14,14:39:47,Yawning,0.16,0.63,0
2026-05-14,14:39:48,Drowsy,0.2,0.45,0
2026-05-14,14:39:51,Drowsy,0.17,0.5,0
2026-05-14,14:39:51,Yawning,0.21,0.62,0
2026-05-14,14:39:59,Drowsy,0.24,0.37,0
2026-05-14,14:40:05,Drowsy,0.23,0.46,0
2026-05-14,14:40:09,Yawning,0.25,0.62,0
2026-05-14,14:40:13,Drowsy,0.21,0.42,0
2026-05-14,14:40:13,Yawning,0.25,0.61,0
2026-05-14,14:40:16,Drowsy,0.2,0.47,0
